机构名称,机构规模,主营业务,联系人,联系电话,微信号,地址,信息来源,跟进状态,首次接触日期,下次跟进日期,备注
"北京新东方英语培训学校","50-100人","成人英语/考研","张校长","138-0000-0001","xin_dong_fang_bj","北京市朝阳区建国路88号","企查查搜索","待联系","","","本地最大连锁，优先拜访"
"上海外语音像出版社培训中心","100+人","商务英语/雅思","李主任","139-0000-0002","sh_english_pub","上海市虹口区四川北路548号","行业推荐","待联系","","","出版背景，信任度高"
"广州新概念英语培训中心","30-50人","K12英语/新概念","王校长","137-0000-0003","gz_kdn_english","广州市天河区体育西路189号","企查查搜索","待联系","","","专注新概念，用户精准"
"深圳学而思英语事业部","100+人","K12全科/英语","赵经理","136-0000-0004","xrts_sz","深圳市南山区科技园南区","官网查询","待联系","","","全国连锁，需总部决策"
"杭州昂立外语培训中心","50-100人","成人英语/出国","陈校长","135-0000-0005","hang_angling","杭州市西湖区文三路478号","企查查搜索","待联系","","","浙江地区覆盖广"
"成都新航道英语学校","50-100人","雅思/托福","刘校长","134-0000-0006","cd_new航道","成都市武侯区人民南路3段","教育展会名片","已接触","2026-08-20","2026-08-27","展会上交换名片，已加微信"
"武汉英孚教育分校","100+人","少儿/成人英语","周校长","133-0000-0007","wuhan_ef","武汉市江汉区解放大道686号","企查查搜索","待联系","","","竞品，需差异化打法"
"南京译鸣英语培训学校","30-50人","商务英语","吴校长","132-0000-0008","nj_eyming","南京市鼓楼区汉口西路50号","转介绍","已联系","2026-08-15","2026-08-22","老客户转介绍，意向较高"
"重庆星火英语培训中心","50-100人","K12英语","郑校长","131-0000-0009","cq_xinghuo","重庆市渝中区解放碑步行街","企查查搜索","待联系","","","西南地区重点拓展"
"天津环球雅思培训学校","30-50人","雅思/留学","孙校长","130-0000-0010","tj_global_yse","天津市和平区滨江道91号","教育沙龙","已接触","2026-08-18","2026-08-25","沙龙上认识，已发送产品资料"
"厦门美联英语培训中心","50-100人","成人英语/留学","黄校长","189-0000-0011","xm_meijing","厦门市思明区SM城市广场","企查查搜索","待联系","","","福建沿海重点城市"
"福州新概念英语研修院","10-30人","新概念系列","林校长","188-0000-0012","fz_kdn_fz","福州市鼓楼区东街2号","转介绍","已联系","2026-08-10","2026-08-20","老客户推荐，正在试用"
"东莞雅思培训学校","10-30人","雅思/托福","何校长","187-0000-0013","dg_yse","东莞市南城区国贸中心","企查查搜索","待联系","","","制造业城市，家长付费意愿强"
"佛山英语口语俱乐部","10-30人","口语专项","杨校长","186-0000-0014","fs_english_club","佛山市禅城区祖庙路31号","社群挖掘","待联系","","","本地英语角社群成员"
"珠海成人英语培训中心","10-30人","成人商务","马校长","185-0000-0015","zh_mcheng","珠海市香洲区吉大景山路","企查查搜索","待联系","","","大湾区城市，毗邻澳门"
"昆明时代英语培训学校","30-50人","K12/成人","罗校长","184-0000-0016","km_etime","昆明市五华区云南大学呈贡校区附近","教育展会","已接触","2026-08-12","2026-08-19","展会上演示过产品，等待反馈"
"长沙新东方前途出国","50-100人","留学/雅思","邓校长","183-0000-0017","cs_xdf_gc","长沙市岳麓区麓山路","官网查询","待联系","","","留学方向，目标客群匹配"
"西安英莱英语培训学校","30-50人","K12英语","田校长","182-0000-0018","xa_ingle","西安市碑林区陕西师范大学附近","企查查搜索","待联系","","","西北地区辐射点"
"哈尔滨新东方英语学校","50-100人","K12/出国","宋校长","181-0000-0019","heb_xdf","哈尔滨市南岗区学府路33号","企查查搜索","待联系","","","东北三省重点城市"
"大连枫叶英语培训学校","30-50人","少儿英语","秦校长","180-0000-0020","dl_fengye","大连市沙河口区星海广场","教育联盟","已联系","2026-08-08","2026-08-18","教育联盟成员，有合作基础"
"济南环球雅思培训学校","50-100人","雅思/留学","韩校长","179-0000-0021","jn_global","济南市历下区泉城路180号","企查查搜索","待联系","","","山东省会，辐射全省"
